id,Title,Content,SKU,"Product Type","Parent Product ID","Product Size","Product Attributes",INGREDIENTS
1310,"Evenly Radiant Day Cream SPF15","<H1><FONT size=3>Evenly Radiant® Day Crème SPF 15</FONT></H1>

<DIV class=review_box><SPAN class=feature_data_value>56 g</SPAN></DIV>

<DIV class=review_box><SPAN class=feature_data_value></SPAN>&nbsp;</DIV>

<DIV class=review_box><SPAN class=feature_data_value></SPAN>A lightweight daytime moisturizer to help brighten and even skin tone while providing full spectrum UVA/UVB protection.</DIV>

<DIV class=review_box>&nbsp;</DIV>

<DIV class=review_box>Boost radiance and even out skin tone with this skin-brightening daytime moisturizer with full spectrum UVA/UVB protection. Formulated with our own Intensive Skin Brightening Complex containing Madonna Lily Plant Stem Cells, Bearberry, Niacinamide, Licorice, Green Tea and C-Ester to help fight discoloration for a brighter, more luminous complexion. Ideal for skin showing signs of uneven pigmentation, discoloration, sun damage, freckles, age spots and dark spots. In a 4-week consumer trial on the full Evenly Radiant® line, 82% of participants saw improvement in overall color and tone of skin. 100% vegan, cruelty-free, paraben-free, sulfate-free, mineral oil-free, lanolin-free, gluten free, GMO-free.</DIV>",DRM0333,simple,0,,a:0:{},
1311,"Anti Wrinkle Renewal Cream","<DIV class=rating_box_content>

<DIV class=review_box>

<H1><FONT size=3>Refining Vitamin A Wrinkle Crème</FONT></H1>

<DIV class=review_box><SPAN class=feature_data_value>113 g</SPAN></DIV>

<DIV class=review_box><SPAN class=feature_data_value></SPAN>&nbsp;</DIV>

<DIV class=review_box><SPAN class=feature_data_value></SPAN>Helps diminish the appearance of fine lines and wrinkles, leaving skin soft, smooth, and supple.&nbsp;</DIV>

<DIV class=review_box>&nbsp;</DIV>

<DIV class=review_box>Enhance surface cellular renewal to diminish the appearance of age lines and wrinkles with this rich refining crème. Contains Vitamin A at a potency of 10,000 I.U. per 100 grams, commonly referred to as the ""skin vitamin"" and best known for its surface cell renewal properties. Antioxidant Vitamin E, skin-soothing Allantoin and Panthenol, and nourishing oils deliver beneficial nutrients deep within skin's surface to address the look of skin aging. 100% vegan, cruelty-free, paraben-free, sulfate-free, mineral oil-free, lanolin-free, gluten free, GMO-free.</DIV></DIV></DIV>",DRM0480,simple,0,,a:0:{},
1312,"Firming Moisturizer with DMAE, Alpha Lipoic and C-Ester","<TABLE cellSpacing=2 cellPadding=0 width=593 border=0>

<TBODY>

<TR align=left vAlign=top>

<TD width=458><SPAN style=""FONT-SIZE: small; FONT-WEIGHT: bold; COLOR: rgb(51,0,102)"">Firming Moisturizer <BR>With DMAE, Alpha Lipoic and C-Ester </SPAN><BR><!-- Product Size --><SPAN style=""FONT-SIZE: x-small; FONT-WEIGHT: bold"">2 oz/56 g</SPAN> </TD></TR>

<TR>

<TD height=165 vAlign=top align=left><!-- Product Long Copy --><SPAN style=""FONT-SIZE: small; COLOR: rgb(0,0,0)"">

<STYLE type=text/css><!--
#main { position: width: 150px; absolute; z-index: 0; }
img.float-right { float: right; padding-left: 1px; }
img.float-left { float: left; padding-right: 1px; }
table.float-right { float: right; padding-left: 1px; }
--></STYLE>



<DIV id=main><!--AWARD IMAGE-->Help visibly firm, tighten and tone skin with this retexturizing formula. Rich in moisture and nutrients, this nourishing crème helps support healthy collagen and elastin to reduce the look of facial sag, diminish the visible signs of aging and protect skin from future damage. DMAE, also referred to as nature's firming agent, has been shown to firm skin, improve skin tone and reduce fine lines and wrinkles. Alpha Lipoic Acid, also referred to as the universal antioxidant, is capable of protecting all portions of the skin’s cellular structure and boost the activity of all other antioxidants. C-Ester protects the skin cells from free radical damage, helps reduce the appearance of lines and wrinkles, and helps firm the skin through its ability to support healthy collagen and elastin. Enriched with moisturizing Jojoba Oil and nourishing Vitamins A and E, this formula leaves skin thoroughly hydrated, nourished and firmer-looking. Ideal for those who are looking to visibly firm, lift and tone the face or neck. <BR><BR><B>Please Note:</B> DMAE and Alpha Lipoic Acid are highly effective ingredients that will improve your skin’s appearance. As with any new skin care product, before starting regular use, we recommend that you “patch test” for sensitivity on a small area under the ear below the jaw line to make sure you have no adverse reaction. If you have a reaction discontinue use immediately.</DIV></SPAN></TD></TR></TBODY></TABLE>",DRM4100,simple,0,,a:0:{},
1313,"Overnight peel","<H1 itemprop=""name"">Overnight Peel</H1>

<DIV class=review_box style=""PADDING-TOP: 8px"" itemscope="""" itemtype=""http://data-vocabulary.org/Review-aggregate"" itemprop=""review""><SPAN class=feature_data_value>Reveal dramatically fresher, newer skin overnight with this skin-brightening blend of glycolic sugar cane and fruit acids. Our skin-renewing formula contains 5% Alpha Hydroxy Acids (AHA) for safe, effective removal of dead surface skin cells. With every use, skin tone becomes more radiant, pigmentation is evened and age spots are visibly diminished. 100% vegan, cruelty-free, paraben-free, sulfate-free, mineral oil-free, lanolin-free, gluten free, GMO-free. </SPAN></DIV>",DRM1490,simple,0,,a:0:{},
1314,"Evenly Radiant Cleanser","<H1><FONT size=4>Evenly Radiant® Cleanser</FONT></H1>

<P class=""size feature_type_text""><SPAN class=feature_data_value>175 ml&nbsp;</SPAN><SPAN class=feature_data_value>&nbsp;</SPAN></P>

<P class=""size feature_type_text""><SPAN class=feature_data_value></SPAN>A skin-brightening, sulfate-free facial cleanser that helps promote skin clarity and glow.</P>

<P class=""size feature_type_text"">Cleanse away aging dullness and boost radiance with this skin-brightening, pH balanced facial cleanser. Formulated with our own Intensive Skin Brightening Complex containing Madonna Lily Plant Stem Cells, Bearberry, Niacinamide, Green Tea and C-Ester, this natural, pH balanced formula leaves skin clean, healthy and glowing. Ideal for skin showing signs of uneven pigmentation, discoloration, sun damage, freckles, age spots and dark spots. In a 4-week consumer trial on the full Evenly Radiant® line, 82% of participants saw improvement in overall color and tone of skin. 100% vegan, cruelty-free, paraben-free, sulfate-free, mineral oil-free, lanolin-free, gluten free, GMO-free.</P>",DRM0603,simple,0,,a:0:{},
1315,"Age-Defying Day Creme with Astaxanthin and Pycnogenol","<table border=""0"" width=""593"" cellspacing=""2"" cellpadding=""0"">
<tbody>
<tr align=""left"" valign=""top"">
<td width=""458""><span style=""font-size: small; font-weight: bold; color: #330066;"">Age-Defying Day Crème
With Astaxanthin and Pycnogenol® </span>
<!-- Product Size --><span style=""font-size: x-small; font-weight: bold;"">2 oz/56 g</span><!-- Product Item# --></td>
</tr>
<tr>
<td align=""left"" valign=""top"" height=""165""><!-- Product Long Copy -->
<div id=""main"">
<table class=""float-right"" border=""0"">
<tbody>
<tr>
<td align=""center""><!--OLD IMAGE--></td>
</tr>
<tr>
<td align=""center""><!--AWARD IMAGE--></td>
</tr>
</tbody>
</table>
Visibly refine, tone and diminish the signs of aging while protecting skin from future damage with this ultimate antioxidant-rich daily moisturizer that contains the two strongest antioxidants for topical application. Astaxanthin is 500 times more powerful than Vitamin E in neutralizing free radicals and helps prevent and reduce the visible signs of aging, diminish the look of skin irregularities, soothe irritation, normalize skin function and enhance the skin’s defensive cells. Pycnogenol® is 50 times more potent than Vitamin E in fighting free radical damage, promotes healthy circulation and delivers soothing properties to help calm skin. Together, these powerful antioxidants help diminish the look of fine lines and wrinkles, refine skin and protect it against the daily stresses of your environment. Fortified with hydrating Jojoba Oil, nourishing Vitamins C and E and Lavender essential oil that gives this product its unique scent, this day crème helps promote a smooth, youthful complexion. Ideal for those looking for a light yet powerful, anti-aging daytime moisturizer that glides on easily and wears well under makeup.

</div>
&nbsp;</td>
</tr>
</tbody>
</table>",DRM2125,simple,0,,a:0:{},"Visibly refine, tone and diminish the signs of aging while protecting skin from future damage with this ultimate antioxidant-rich daily moisturizer that contains the two strongest antioxidants for topical application. Astaxanthin is 500 times more powerful than Vitamin E in neutralizing free radicals and helps prevent and reduce the visible signs of aging, diminish the look of skin irregularities, soothe irritation, normalize skin function and enhance the skin’s defensive cells. Pycnogenol® is 50 times more potent than Vitamin E in fighting free radical damage, promotes healthy circulation and delivers soothing properties to help calm skin."
1316,"Evenly Radiant Serum","<DIV class=review_box>

<H1><FONT size=3>Evenly Radiant® Serum</FONT></H1>

<DIV class=review_box><SPAN class=feature_data_value>60 ml</SPAN></DIV>

<DIV class=review_box><SPAN class=feature_data_value></SPAN>&nbsp;</DIV>

<DIV class=review_box><SPAN class=feature_data_value></SPAN>An intensive skin-brightening treatment that targets uneven pigmentation and age damage for a visibly brighter complexion.</DIV>

<DIV class=review_box>&nbsp;</DIV>

<DIV class=review_box>Target uneven pigmentation and age damage at the source with this intensive skin-brightening treatment serum. Formulated with our own Intensive Skin Brightening Complex containing Madonna Lily Plant Stem Cells, Bearberry, Niacinamide, Licorice, Green Tea and C-Ester plus illuminating Alpha-Arbutin to help fight discoloration for more evenly toned, luminous skin. Ideal for skin showing signs of uneven pigmentation, discoloration, sun damage, freckles, age spots and dark spots. In a 4-week consumer trial on the full Evenly Radiant® line, 82% of participants saw improvement in overall color and tone of skin. 100% vegan, cruelty-free, paraben-free, sulfate-free, mineral oil-free, lanolin-free, gluten free, GMO-free.</DIV></DIV>",DRM0352,simple,0,,a:0:{},
1317,"Deep Wrinkle Reverse Moisturizer with Peptides Plus","<TABLE cellSpacing=2 cellPadding=0 width=593 border=0>

<TBODY>

<TR align=left vAlign=top>

<TD width=458><SPAN style=""FONT-SIZE: small; FONT-WEIGHT: bold; COLOR: rgb(51,0,102)"">Deep Wrinkle Reverse Moisturizer <BR>With Peptides Plus® </SPAN><BR><!-- Product Size --><SPAN style=""FONT-SIZE: x-small; FONT-WEIGHT: bold"">2 oz/60 ml</SPAN><!-- Product Item# --> </TD></TR>

<TR>

<TD height=165 vAlign=top align=left><!-- Product Long Copy --><SPAN style=""FONT-SIZE: small; COLOR: rgb(0,0,0)"">

<STYLE type=text/css><!--
#main { position: width: 150px; absolute; z-index: 0; }
img.float-right { float: right; padding-left: 1px; }
img.float-left { float: left; padding-right: 1px; }
table.float-right { float: right; padding-left: 1px; }
--></STYLE>



<DIV id=main>Visibly soften and smooth the appearance of even the deepest wrinkles with this revolutionary double-action peptide crème that contains two of the most powerful and effective peptides that bio-science has to offer. Peptide Matrixyl® tells the skin to synthesize new key components such as collagen and to restructure itself. Peptide Argireline® helps relax facial muscles, smooth wrinkles, and discourage the formation of new lines. Enriched with anti-aging antioxidants Pycnogenol®, Vitamin C and Green Tea, this rich moisturizing formula helps reduce the look of wrinkles, visibly improve skin's resilience, tone and texture, and prevent future damage. Ideal for those with normal to dry skin who are looking for an intense wrinkle-fighting formula that promotes a smoother, more youthful appearance.</DIV></SPAN></TD></TR></TBODY></TABLE>",DRM0700,simple,0,,a:0:{},
1318,"Deep Wrinkle Reverse Eye Creme with Peptides Plus","<TABLE cellSpacing=2 cellPadding=0 width=593 border=0>

<TBODY>

<TR align=left vAlign=top>

<TD width=458><SPAN style=""FONT-SIZE: small; FONT-WEIGHT: bold; COLOR: rgb(51,0,102)"">Deep Wrinkle Reverse Eye Crème <BR>With Peptides Plus® </SPAN><BR><!-- Product Size --><SPAN style=""FONT-SIZE: x-small; FONT-WEIGHT: bold"">1/2 oz/14 g</SPAN><!-- Product Item# --> </TD></TR>

<TR>

<TD height=165 vAlign=top align=left><!-- Product Long Copy --><SPAN style=""FONT-SIZE: small; COLOR: rgb(0,0,0)"">

<STYLE type=text/css><!--
#main { position: width: 150px; absolute; z-index: 0; }
img.float-right { float: right; padding-left: 1px; }
img.float-left { float: left; padding-right: 1px; }
table.float-right { float: right; padding-left: 1px; }
--></STYLE>



<DIV id=main>

<TABLE class=float-right border=0>

<TBODY>

<TR>

<TD align=center><!--OLD IMAGE--></TD></TR>

<TR>

<TD align=center><!--AWARD IMAGE--></TD></TR></TBODY></TABLE>Visibly smooth the appearance of even the deepest lines, wrinkles and crow's feet with this revolutionary double-action eye crème that contains two of the most powerful and effective peptides that bio-science has to offer. Peptide Matrixyl® tells the skin to synthesize new key components such as collagen and to restructure itself. Peptide Argireline® helps relax facial muscles, smooth wrinkles, and discourage the formation of new lines. Enriched with antioxidants Green Tea, Vitamin C and Pycnogenol®, this significantly advanced antiaging formula protects, soothes, encourages healthy circulation and reduces the signs of aging for more youthful, radiant eyes.</DIV></SPAN></TD></TR></TBODY></TABLE>",DRM0775,simple,0,,a:0:{},
1319,"Age-Defying Night Cream","<DIV class=rating_box_content>

<H1><FONT size=3>Age-Defying Night Crème with Astaxanthin</FONT></H1>

<DIV class=review_box><SPAN class=feature_data_value>56 g</SPAN></DIV>

<DIV class=review_box><SPAN class=feature_data_value></SPAN>&nbsp;</DIV>

<DIV class=review_box><SPAN class=feature_data_value></SPAN>This ultimate, anti-aging, antioxidant-rich nighttime moisturizer helps refine and perfect skin while you sleep. Contains Astaxanthin and Pycnogenol®.</DIV>

<DIV class=review_box>&nbsp;</DIV>

<DIV class=review_box>Reverse the visible signs of aging, diminish the look of skin irregularities and soothe irritation while you sleep with this advanced, antioxidant-rich night crème. Our formula contains two of the strongest antioxidants for topical application: Astaxanthin is 500 times more powerful than Vitamin E in neutralizing free radicals, and Pycnogenol® is 50 times more potent than Vitamin E in fighting free radical damage. Together, these powerful antioxidants are infused into this high-potency nighttime moisturizer that helps diminish the look of fine lines and wrinkles, promotes visible recovery from environmental stresses and promotes a smoother, more youthful complexion. Fortified with hydrating Jojoba Oil, nourishing Vitamins C and E and Lavender essential oil. 100% vegan, cruelty-free, paraben-free, sulfate-free, mineral oil-free, lanolin-free, gluten free, GMO-free. </DIV></DIV>",DRM2100,simple,0,,a:0:{},
